"","x1","x2","x3","x4","y"
"1",-1,1,-1,-1,-2.43497574054474
"2",-1,-1,-1,-1,1.30401932706615
"3",1,-1,-1,1,-2.95558192395675
"4",1,1,1,-1,2.596105779832
"5",-1,1,1,1,-0.0731488414209595
"6",-1,-1,1,-1,2.19648859698521
"7",1,-1,1,-1,0.390213345753185
"8",1,1,-1,1,-0.677690619727093
"9",-1,1,1,1,1.01361874852543
"10",-1,1,-1,-1,-3.8790333824221
"11",1,1,1,-1,0.13700646074452
"12",1,1,-1,-1,-0.505866581560489
"13",-1,1,-1,1,-2.20197773825838
"14",1,1,-1,-1,-0.277323803010436
"15",1,1,-1,-1,-1.0250515361352
"16",1,1,1,-1,2.7016071543932
"17",-1,1,1,1,-1.71725721668775
"18",-1,-1,-1,-1,-1.88909925577967
"19",-1,1,1,-1,0.106201608524166
"20",1,-1,1,-1,-0.998163246425966
"21",-1,1,1,1,0.189259910506236
"22",-1,-1,1,-1,2.31653001837917
"23",1,1,-1,1,-0.931648100248069
"24",1,-1,-1,-1,-1.97921830783778
"25",-1,-1,1,-1,1.96183098934168
"26",-1,1,-1,-1,-0.408390136703603
"27",-1,-1,1,-1,1.979543854503
"28",-1,-1,-1,1,-1.22376592756095
"29",-1,1,-1,1,-3.02251721923075
"30",-1,1,-1,-1,-1.68266853740395
"31",1,-1,1,1,-0.0397435896454092
"32",1,1,-1,1,1.64260740270213
"33",1,-1,1,1,-1.0278682073899
"34",1,-1,1,1,-0.732642909476546
"35",1,-1,-1,-1,-1.9246329104483
"36",-1,-1,1,-1,2.81129545162898
"37",1,1,-1,1,-1.04901917339728
"38",1,1,1,-1,1.96309741466506
"39",1,-1,1,1,0.525177676436093
"40",1,-1,1,-1,0.0538969223140694
"41",-1,-1,1,-1,1.12569914800268
"42",-1,-1,-1,1,-0.0176829624055323
"43",-1,-1,-1,1,0.123898326026584
"44",-1,-1,-1,-1,-1.42407640952837
"45",-1,1,-1,-1,-3.06111691483688
"46",1,-1,-1,1,-2.12291903178589
"47",1,-1,1,1,-0.684670807878431
"48",-1,-1,-1,1,1.12701871037918
"49",1,1,-1,-1,-0.348430062830542
"50",-1,1,-1,1,-2.51773048496146
"51",-1,-1,1,-1,0.820518334807251
